unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1736805600,13.01.2025 22:00,BTC/USD,94177,94669,94137,94353,118.6594604,11195876.07
1736802000,13.01.2025 21:00,BTC/USD,93567,94417,93394,94168,79.11298478,7449911.551
1736798400,13.01.2025 20:00,BTC/USD,92258,93732,91851,93542,116.4010564,10888387.62
1736794800,13.01.2025 19:00,BTC/USD,92029,92460,91571,92277,67.37119248,6216811.528
1736791200,13.01.2025 18:00,BTC/USD,91933,92359,91536,92031,57.07119203,5252318.874
1736787600,13.01.2025 17:00,BTC/USD,91278,92246,91197,91865,19.8348825,1822131.481
1736784000,13.01.2025 16:00,BTC/USD,92133,92223,91212,91281,46.72916719,4265485.11
1736780400,13.01.2025 15:00,BTC/USD,91764,93062,91526,92102,95.56364287,8801602.636
1736776800,13.01.2025 14:00,BTC/USD,91049,92196,89164,91768,306.2647551,28105304.05
1736773200,13.01.2025 13:00,BTC/USD,90652,91687,90490,91049,73.08255093,6654093.18
1736769600,13.01.2025 12:00,BTC/USD,90764,91201,90204,90633,320.6316957,29059812.47
1736766000,13.01.2025 11:00,BTC/USD,91568,91689,90754,90775,178.7191584,16223231.61
1736762400,13.01.2025 10:00,BTC/USD,92798,92798,91310,91543,104.4860334,9564964.956
1736758800,13.01.2025 09:00,BTC/USD,92973,93123,92612,92801,41.79307046,3878438.732
1736755200,13.01.2025 08:00,BTC/USD,93521,93584,92851,92981,20.09887245,1868813.259
1736751600,13.01.2025 07:00,BTC/USD,93607,93867,93433,93479,11.61937365,1086167.429
1736748000,13.01.2025 06:00,BTC/USD,94136,94265,93239,93538,51.14448189,4783952.547
1736744400,13.01.2025 05:00,BTC/USD,94433,94440,94001,94123,19.3851378,1824587.325
1736740800,13.01.2025 04:00,BTC/USD,94224,94828,94169,94506,83.44220491,7885789.017
1736737200,13.01.2025 03:00,BTC/USD,94196,94346,93951,94225,8.09763974,763000.1045
1736733600,13.01.2025 02:00,BTC/USD,94173,94445,93871,94173,18.04788712,1699623.674
1736730000,13.01.2025 01:00,BTC/USD,95261,95322,94080,94176,91.31824002,8599986.572
1736726400,13.01.2025 00:00,BTC/USD,94498,95846,94260,95288,171.1686304,16310316.45
1736722800,12.01.2025 23:00,BTC/USD,93938,94498,93926,94497,47.91856927,4528161.04
1736719200,12.01.2025 22:00,BTC/USD,94294,94304,93775,93880,28.20059732,2647472.076
1736715600,12.01.2025 21:00,BTC/USD,94660,94679,94283,94290,15.5957276,1470521.155
1736712000,12.01.2025 20:00,BTC/USD,94610,94768,94582,94646,6.81522156,645033.4598
1736708400,12.01.2025 19:00,BTC/USD,94963,95024,94550,94613,22.23410803,2103635.663
1736704800,12.01.2025 18:00,BTC/USD,95108,95238,94903,94971,18.52341121,1759186.886
1736701200,12.01.2025 17:00,BTC/USD,95008,95204,94936,95119,21.40472959,2035996.474
1736697600,12.01.2025 16:00,BTC/USD,95027,95095,94782,95005,43.63859547,4145884.763
1736694000,12.01.2025 15:00,BTC/USD,94772,95363,94646,95029,64.4467898,6124313.988
1736690400,12.01.2025 14:00,BTC/USD,94606,94907,94606,94737,15.99544084,1515360.079
1736686800,12.01.2025 13:00,BTC/USD,94294,94657,94274,94624,31.81336264,3010307.626
1736683200,12.01.2025 12:00,BTC/USD,94196,94521,94113,94295,24.71056198,2330082.442
1736679600,12.01.2025 11:00,BTC/USD,93959,94272,93952,94201,24.02823134,2263483.42
1736676000,12.01.2025 10:00,BTC/USD,93852,93987,93760,93962,34.24675872,3217893.943
1736672400,12.01.2025 09:00,BTC/USD,94116,94180,93685,93858,66.09277538,6203335.712
1736668800,12.01.2025 08:00,BTC/USD,94282,94347,94091,94107,14.04299337,1321543.977
1736665200,12.01.2025 07:00,BTC/USD,94340,94401,94251,94277,27.32538741,2576155.549
1736661600,12.01.2025 06:00,BTC/USD,94525,94571,94340,94368,14.83035941,1399511.357
1736658000,12.01.2025 05:00,BTC/USD,94544,94587,94464,94494,1.5187963,143517.1376
1736654400,12.01.2025 04:00,BTC/USD,94580,94604,94455,94546,3.11878871,294868.9974
1736650800,12.01.2025 03:00,BTC/USD,94580,94634,94374,94571,4.13505096,391055.9043
1736647200,12.01.2025 02:00,BTC/USD,94532,94600,94434,94583,15.16372177,1434230.296
1736643600,12.01.2025 01:00,BTC/USD,94412,94551,94283,94537,12.39715001,1171989.37
1736640000,12.01.2025 00:00,BTC/USD,94573,94629,94408,94415,12.78163793,1206778.345
1736636400,11.01.2025 23:00,BTC/USD,94560,94724,94535,94568,22.44468901,2122549.35
1736632800,11.01.2025 22:00,BTC/USD,94921,94964,94559,94570,35.04627225,3314325.967
1736629200,11.01.2025 21:00,BTC/USD,94564,94975,94559,94906,60.78423129,5768788.255
1736625600,11.01.2025 20:00,BTC/USD,94192,94600,94138,94560,38.20168513,3612351.346
1736622000,11.01.2025 19:00,BTC/USD,94196,94260,94040,94188,9.64838011,908761.6258
1736618400,11.01.2025 18:00,BTC/USD,94110,94256,94068,94228,6.81000915,641693.5422
1736614800,11.01.2025 17:00,BTC/USD,94397,94397,93944,94101,68.84363491,6478254.889
1736611200,11.01.2025 16:00,BTC/USD,94425,94657,94301,94397,150.8654982,14241250.44
1736607600,11.01.2025 15:00,BTC/USD,94560,94594,94345,94379,10.19204728,961915.2302
1736604000,11.01.2025 14:00,BTC/USD,94379,94588,94306,94583,4.40773813,416897.0955
1736600400,11.01.2025 13:00,BTC/USD,94503,94561,94328,94365,18.07569646,1705713.096
1736596800,11.01.2025 12:00,BTC/USD,94589,94606,94481,94499,6.20396457,586268.4479
1736593200,11.01.2025 11:00,BTC/USD,94430,94723,94413,94574,19.94432389,1886214.488
1736589600,11.01.2025 10:00,BTC/USD,94308,94430,94278,94430,28.10091255,2653569.172
1736586000,11.01.2025 09:00,BTC/USD,94077,94309,94032,94309,1.90325242,179493.8325
1736582400,11.01.2025 08:00,BTC/USD,94252,94372,94035,94050,18.43936468,1734222.248
1736578800,11.01.2025 07:00,BTC/USD,94204,94308,94120,94216,3.83963694,361755.2339
1736575200,11.01.2025 06:00,BTC/USD,94336,94396,94187,94187,8.92991735,841082.1254
1736571600,11.01.2025 05:00,BTC/USD,94050,94340,94010,94340,20.98175407,1979418.679
1736568000,11.01.2025 04:00,BTC/USD,94183,94303,93843,94046,15.68470917,1475084.159
1736564400,11.01.2025 03:00,BTC/USD,94395,94408,94102,94195,6.63892203,625353.2606
1736560800,11.01.2025 02:00,BTC/USD,94415,94476,94182,94407,4.30048676,405996.0536
1736557200,11.01.2025 01:00,BTC/USD,94624,94659,94227,94418,10.26770582,969456.2481
1736553600,11.01.2025 00:00,BTC/USD,94702,94702,94364,94578,69.32256878,6556389.91
1736550000,10.01.2025 23:00,BTC/USD,94733,94881,94671,94702,13.62229501,1290058.582
1736546400,10.01.2025 22:00,BTC/USD,94649,94893,94580,94759,12.24097099,1159942.17
1736542800,10.01.2025 21:00,BTC/USD,94657,94912,94605,94606,6.34202359,599993.4838
1736539200,10.01.2025 20:00,BTC/USD,95300,95430,94650,94691,11.58214888,1096725.26
1736535600,10.01.2025 19:00,BTC/USD,94892,95377,94436,95313,7.29569042,695374.141
1736532000,10.01.2025 18:00,BTC/USD,95777,95777,94600,94851,39.67048663,3762785.327
1736528400,10.01.2025 17:00,BTC/USD,93636,95797,93328,95737,179.205342,17156581.83
1736524800,10.01.2025 16:00,BTC/USD,93726,94023,93200,93768,89.30638778,8374081.369
1736521200,10.01.2025 15:00,BTC/USD,94086,94498,92227,93739,206.0020471,19310425.89
1736517600,10.01.2025 14:00,BTC/USD,93540,94655,93422,94114,230.2984388,21674307.27
1736514000,10.01.2025 13:00,BTC/USD,95021,95034,92768,93536,351.2527783,32854779.87
1736510400,10.01.2025 12:00,BTC/USD,95091,95174,94727,95023,112.4425715,10684630.48
1736506800,10.01.2025 11:00,BTC/USD,95238,95238,94634,95092,77.55498742,7374858.864
1736503200,10.01.2025 10:00,BTC/USD,94810,95238,94774,95229,22.82079813,2173201.785
1736499600,10.01.2025 09:00,BTC/USD,94690,94976,94589,94801,39.5508297,3749458.206
1736496000,10.01.2025 08:00,BTC/USD,94511,94756,94430,94691,49.90141394,4725214.787
1736492400,10.01.2025 07:00,BTC/USD,94236,94976,94082,94517,105.716892,9992043.481
1736488800,10.01.2025 06:00,BTC/USD,93964,94317,93764,94245,47.77873076,4502906.48
1736485200,10.01.2025 05:00,BTC/USD,93832,94227,93641,93963,59.38139622,5579654.133
1736481600,10.01.2025 04:00,BTC/USD,93699,93877,93503,93832,49.84605836,4677155.348
1736478000,10.01.2025 03:00,BTC/USD,93380,93708,93342,93699,13.50562967,1265463.994
1736474400,10.01.2025 02:00,BTC/USD,93140,93674,93039,93373,32.99775792,3081099.65
1736470800,10.01.2025 01:00,BTC/USD,92740,93128,92598,93097,20.7273893,1929657.762
1736467200,10.01.2025 00:00,BTC/USD,92545,92835,92465,92741,19.92692772,1848043.204
1736463600,09.01.2025 23:00,BTC/USD,92440,92649,92051,92542,12.40088208,1147602.429
1736460000,09.01.2025 22:00,BTC/USD,92084,92703,91645,92460,83.99413288,7766097.526
1736456400,09.01.2025 21:00,BTC/USD,91896,92479,91772,92061,100.6688463,9267674.66
1736452800,09.01.2025 20:00,BTC/USD,91915,92313,91215,91896,161.1036547,14804781.45
1736449200,09.01.2025 19:00,BTC/USD,93023,93287,91916,91916,104.8170791,9634366.646
1736445600,09.01.2025 18:00,BTC/USD,92693,93214,92415,93028,67.45352667,6275066.679
1736442000,09.01.2025 17:00,BTC/USD,94245,94268,92325,92688,100.6958733,9333299.105
1736438400,09.01.2025 16:00,BTC/USD,94221,94661,93851,94243,70.642593,6657569.892
1736434800,09.01.2025 15:00,BTC/USD,92817,94532,92655,94223,107.3260649,10112583.81
1736431200,09.01.2025 14:00,BTC/USD,91904,92853,91761,92830,152.0041582,14110546
1736427600,09.01.2025 13:00,BTC/USD,93365,93437,91884,91956,131.9575661,12134289.95
1736424000,09.01.2025 12:00,BTC/USD,93409,93641,93122,93347,19.14521113,1787148.023
1736420400,09.01.2025 11:00,BTC/USD,93379,93887,93192,93414,112.5515794,10513893.24
1736416800,09.01.2025 10:00,BTC/USD,93489,93612,93005,93405,43.82696098,4093657.29
1736413200,09.01.2025 09:00,BTC/USD,92992,93689,92941,93467,62.31733627,5824614.469
1736409600,09.01.2025 08:00,BTC/USD,93181,93338,92679,92985,111.8163594,10397244.18
1736406000,09.01.2025 07:00,BTC/USD,94034,94260,93179,93179,57.0287086,5313878.039
1736402400,09.01.2025 06:00,BTC/USD,94425,94570,94017,94060,9.66784987,909357.9588
1736398800,09.01.2025 05:00,BTC/USD,94358,94520,94234,94427,10.05212554,949192.0584
1736395200,09.01.2025 04:00,BTC/USD,93979,94447,93775,94387,15.27050961,1441337.591
1736391600,09.01.2025 03:00,BTC/USD,94745,94752,93989,93989,38.61501685,3629386.819
1736388000,09.01.2025 02:00,BTC/USD,94966,94989,93439,94738,258.4889312,24488724.36
1736384400,09.01.2025 01:00,BTC/USD,95113,95333,94954,94954,33.08768838,3141808.362
1736380800,09.01.2025 00:00,BTC/USD,95034,95101,94799,95101,12.86793426,1223753.416
1736377200,08.01.2025 23:00,BTC/USD,95274,95274,94897,95065,10.06670886,956991.6778
1736373600,08.01.2025 22:00,BTC/USD,94434,95273,94434,95273,44.94427545,4281975.955
1736370000,08.01.2025 21:00,BTC/USD,93950,94552,93600,94433,26.49149409,2501671.261
1736366400,08.01.2025 20:00,BTC/USD,94222,94377,93750,93930,88.35940332,8299598.754
1736362800,08.01.2025 19:00,BTC/USD,94222,94828,94006,94226,58.21121327,5485009.782
1736359200,08.01.2025 18:00,BTC/USD,94000,95076,93751,94245,177.4163095,16720600.09
1736355600,08.01.2025 17:00,BTC/USD,94748,94804,92502,94001,296.7164425,27891642.31
1736352000,08.01.2025 16:00,BTC/USD,95459,95484,94506,94757,158.4920176,15018228.11
1736348400,08.01.2025 15:00,BTC/USD,95197,96030,94614,95458,168.5721547,16091560.74
1736344800,08.01.2025 14:00,BTC/USD,95360,95836,94896,95300,122.8092187,11703718.54
1736341200,08.01.2025 13:00,BTC/USD,94851,95637,94851,95361,86.99176314,8295621.525
1736337600,08.01.2025 12:00,BTC/USD,95104,95330,94812,94845,74.44582192,7060813.98
1736334000,08.01.2025 11:00,BTC/USD,95942,96007,94511,95104,175.0087873,16644035.71
